identifier,container_number,seal_number_1,seal_number_2,equipment_description_code,container_length,container_height,container_width,container_type,load_status,type_of_service
20180101166,ECMU1922507,G1586920,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101166,CAIU3702002,G1586915,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101166,CMAU0827333,G1586916,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101166,FCIU4384706,G1586964,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101166,CMAU1839262,G1586917,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101167,ECMU1922507,G1586920,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101167,CAIU3702002,G1586915,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101167,CMAU0827333,G1586916,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101167,FCIU4384706,G1586964,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101167,CMAU1839262,G1586917,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101168,TRHU3312721,G1586870,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101168,TCLU3029351,G1586763,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101168,TCLU7462858,G1586762,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101168,TCLU7350122,G1586761,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101168,TEMU2559842,G1586869,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101169,FCIU3191805,G1586868,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101169,CMAU0789130,G1586862,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101169,CMAU0303980,G1586861,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101169,CMAU1585126,G1586865,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101169,CMAU1478452,G1586864,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101170,TRHU2325869,G1586867,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101170,TEMU3167105,G1586768,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101170,TEMU2877606,G1586767,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101170,TCKU1731865,G1586766,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101170,APZU3754298,G1586765,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101171,TEMU2613917,G1586980,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101171,TCKU1628688,G1586978,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101171,SEGU1783002,G1586976,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101171,CMAU1838498,G1586927,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101171,APZU3773549,G1586871,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101172,TCKU1794673,FEX2810632,,Container,2000,806,800,2210,Loaded,House to House
20180101173,NYKU9863758,CN1758249,,Openings at one end or both ends.,2000,806,802,2CG0,Loaded,Container Yard
20180101173,TCKU2827806,CN1758250,,Openings at one end or both ends.,2000,806,802,2CG0,Loaded,Container Yard
20180101174,TCLU9751649,CN1975884,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
20180101175,NYKU4090022,CN1974692,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
20180101176,APZU3615501,F8879597,,Container,2000,806,800,22G0,Loaded,Container Yard
20180101177,APZU3088972,017497,G1657851,Container,2000,806,800,22G0,Loaded,Container Yard
20180101178,MSCU3659472,FEX3078689,,Container,2000,806,800,2210,Loaded,House to House
20180101179,MSCU3659472,FEX3078689,,Container,2000,806,800,2210,Loaded,House to House
20180101180,BMOU2085713,017492,G1657931,Container,2000,806,800,22G0,Loaded,Container Yard
20180101181,FCIU2803043,210810,AI50009397,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101182,MOAU5834977,977510M,,Container,2000,806,800,2200,Loaded,Container Yard
20180101183,TRLU7373894,G0794894,,Container,4000,900,800,4500,Loaded,Pier to Pier
20180101184,TRLU7373894,G0794894,,Container,4000,900,800,4500,Loaded,Pier to Pier
20180101185,CAIU9288250,339553,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101186,TCLU4117483,CN1758286,,Openings at one end or both ends.,4000,806,802,4CG0,Loaded,Container Yard
20180101187,GLDU7612591,339797,,Container,4000,900,800,45G0,Loaded,Pier to Pier
20180101188,TTNU9099778,FJ01150221,,Container,4000,900,800,4510,Loaded,House to House
20180101189,TRLU7359920,G0794898,,Container,4000,900,800,45G0,Loaded,Break Bulk
20180101190,TRLU7359920,G0794898,,Container,4000,900,800,45G0,Loaded,Break Bulk
20180101191,TCLU7269812,FEX2428928,,Container,2000,806,800,2210,Loaded,House to House
20180101191,MEDU6057412,CAU63109,DPW,Container,2000,806,800,2210,Loaded,House to House
20180101191,FCIU3919948,FEX2428919,,Container,2000,806,800,2210,Loaded,House to House
20180101191,MEDU6115519,CAU63095,DPW,Container,2000,806,800,2210,Loaded,House to House
20180101191,TEMU4623149,CAU63106,DPW,Container,2000,806,800,2210,Loaded,House to House
20180101192,CAXU8115041,339766,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101193,TGHU2987164,CAU63111,DPW,Container,2000,806,800,22G0,Loaded,
20180101193,MSCU1905411,FJ00482346,,Container,2000,806,800,22G0,Loaded,
20180101193,CAIU2819247,CAU63113,DPW,Container,2000,806,800,22G0,Loaded,
20180101193,TEMU4337870,CAU63114,DPW,Container,2000,806,800,22G0,Loaded,
20180101193,MEDU2688791,FJ00479565,,Container,2000,806,800,22G0,Loaded,
20180101194,GLDU7612591,339797,,Container,4000,900,800,45G0,Loaded,Pier to Pier
20180101195,TGHU2987164,CAU63111,DPW,Container,2000,806,800,22G0,Loaded,
20180101195,MSCU1905411,FJ00482346,,Container,2000,806,800,22G0,Loaded,
20180101195,CAIU2819247,CAU63113,DPW,Container,2000,806,800,22G0,Loaded,
20180101195,TEMU4337870,CAU63114,DPW,Container,2000,806,800,22G0,Loaded,
20180101195,MEDU2688791,FJ00479565,,Container,2000,806,800,22G0,Loaded,
20180101196,MOAU0667178,373592K,,Container,2000,806,800,2200,Loaded,Container Yard
20180101197,XINU1493767,019442,G1595944,Container,2000,806,800,22G0,Loaded,Container Yard
20180101198,DFSU2044070,85346,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101199,CMAU1269350,G1657849,,Container,2000,806,800,22G0,Loaded,Container Yard
