port_of_lading,containers_2019,containers_2020,container_change,lat,lng
"Sunderland,United Kingdom",4,20167,20163,54.906,-1.381
"Sundsvall,Sweden",26782,520969,494187,62.4001,17.3167
"Surabaya,Indonesia",1349202,2,-1349200,-7.2458,112.7378
"Susaki,Japan",49039,46806,-2233,33.3925,133.2931
"Sydney,Australia",19036864,891,-19035973,-33.8667,151.2
"Szczecin,Poland",55277,112469,57192,53.4325,14.5481
"Talara,Peru",21,80,59,-4.5799,-81.2719
"Talcahuano,Chile",2,826,824,-36.7167,-73.1219
"Tallinn,Estonia",380268,1,-380267,59.4372,24.7453
"Tampico,Mexico",99021805,7533473,-91488332,22.2553,-97.8686
"Tangier,Morocco",266668,15,-266653,35.7767,-5.8039
"Taranto,Italy",63532,290,-63242,40.4711,17.2431
"Tarragona,Spain",970,3070,2100,41.1175,1.2528
"Tauranga,New Zealand",108209970,20,-108209950,-37.6858,176.1667
"Tawau,Malaysia",583655,355521,-228134,4.271,117.896
"Tellicherry,India",7780981,500,-7780481,11.7481,75.4929
"Tema,Ghana",183629,17087,-166542,5.6667,-0.0167
"Terneuzen,Netherlands",36,239530756,239530720,51.3333,3.8333
"Tiburon,Haiti",2332,9341,7009,18.3266,-74.3953
"Tiksi,Russia",116,73813505,73813389,71.6269,128.835
"Tilbury,United Kingdom",11810,49,-11761,51.4606,0.3582
"Timaru,New Zealand",862581,270,-862311,-44.3931,171.2508
"Tocopilla,Chile",25784,502488,476704,-22.0889,-70.1958
"Tomakomai,Japan",25798,13308,-12490,42.6333,141.6
"Torre Annunziata,Italy",68583,1423715,1355132,40.7569,14.4444
"Townsville,Australia",10,1331,1321,-19.25,146.8167
"Trani,Italy",115749,8399,-107350,41.2667,16.4167
"Trapani,Italy",6701,3,-6698,38.0175,12.515
"Troon,United Kingdom",1,26411,26410,55.54,-4.66
"Trujillo,Honduras",66046,42,-66004,15.9179,-85.953
"Trujillo,Peru",117005,10216,-106789,-8.112,-79.0288
"Tuapse,Russia",20171,14706,-5465,44.1044,39.0772
"Tulcea,Romania",88358,5229,-83129,45.1775,28.8036
"Tumaco,Colombia",8,57073,57065,1.8067,-78.7647
"Tunis,Tunisia",34931,2,-34929,36.8064,10.1817
